Sample ID,True Cancer Type,Predicted Cancer Type
HCC1569_BREAST,breast,ovary
TT_THYROID,thyroid,ovary
MDST8_LARGE_INTESTINE,large_intestine,central_nervous_system
TT_THYROID,thyroid,ovary
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid_tissue,stomach
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid_tissue,central_nervous_system
H4_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,skin
H4_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,skin
H4_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,haematopoietic_and_lymphoid_tissue
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid_tissue,stomach
TCCSUP_URINARY_TRACT,urinary_tract,thyroid
LS123_LARGE_INTESTINE,large_intestine,stomach
AGS_STOMACH,stomach,large_intestine
HCC1395_BREAST,breast,thyroid
